order_id,order_date,customer_id,customer_name,region,category,product,unit_price,quantity,sales,profit,payment_method
1,2023-02-14,2999,Customer_2999,Central,Apparel,T-Shirt,367.93,1,367.93,93.14,cash
2,2024-07-24,2241,Customer_2241,Central,Home,Cookware,1386.55,4,5546.2,568.22,cash
3,2023-04-19,1367,Customer_1367,South,Office Supplies,Notepad,1142.13,1,1142.13,226.14,card
4,2023-02-07,6977,Customer_6977,Central,Electronics,Smartphone,297.1,2,594.2,122.57,cash
5,2023-12-16,4072,Customer_4072,East,Furniture,Cabinet,222.36,1,222.36,68.49,card
6,2024-01-08,5555,Customer_5555,South,Furniture,Table,1346.79,1,1346.79,379.52,cash
7,2023-09-01,5181,Customer_5181,East,Home,Decor,1253.91,3,3761.73,468.76,card
8,2024-02-05,8393,Customer_8393,North,Office Supplies,Notepad,1928.41,1,1928.41,398.58,bank_transfer
9,2024-05-25,5212,Customer_5212,North,Electronics,Smartphone,165.09,3,495.27,154.91,card
10,2023-02-10,5603,Customer_5603,South,Apparel,Jacket,1964.67,1,1964.67,559.89,paypal
11,2024-02-11,5601,Customer_5601,Central,Apparel,T-Shirt,74.78,1,74.78,21.43,paypal
12,2023-11-04,1320,Customer_1320,East,Apparel,T-Shirt,1049.11,1,1049.11,299.82,card
13,2023-08-28,9130,Customer_9130,Central,Home,Cookware,628.06,1,628.06,44.45,card
14,2024-03-03,2301,Customer_2301,West,Electronics,Laptop,1802.5,2,3605.0,1139.31,card
15,2023-05-24,6889,Customer_6889,Central,Home,Cookware,1761.35,2,3522.7,490.54,paypal
16,2024-11-08,8246,Customer_8246,West,Home,Cookware,1480.5,1,1480.5,358.31,bank_transfer
17,2023-08-20,8057,Customer_8057,West,Apparel,T-Shirt,1942.65,4,7770.6,1164.63,card
18,2024-11-27,4604,Customer_4604,East,Furniture,Desk,587.02,2,1174.04,278.92,cash
19,2024-11-25,1857,Customer_1857,North,Apparel,T-Shirt,1398.56,2,2797.12,355.44,paypal
20,2024-02-24,4523,Customer_4523,South,Electronics,Laptop,955.42,1,955.42,131.25,bank_transfer
21,2024-10-20,4999,Customer_4999,South,Furniture,Table,570.77,1,570.77,178.36,card
22,2023-06-07,8579,Customer_8579,Central,Furniture,Cabinet,717.0,2,1434.0,132.17,bank_transfer
23,2023-08-02,2168,Customer_2168,Central,Apparel,Shoes,1450.7,2,2901.4,861.65,card
24,2023-11-11,9323,Customer_9323,East,Home,Cookware,1969.77,1,1969.77,334.21,cash
25,2024-11-30,2848,Customer_2848,Central,Home,Bedding,454.92,1,454.92,100.99,cash
26,2023-10-11,7056,Customer_7056,North,Electronics,Smartphone,1419.13,3,4257.39,1373.77,bank_transfer
27,2023-09-24,1583,Customer_1583,North,Home,Bedding,1135.27,1,1135.27,302.91,bank_transfer
28,2023-03-18,1426,Customer_1426,Central,Home,Bedding,1825.62,1,1825.62,551.73,cash
